==3710704== NVPROF is profiling process 3710704, command: ./mfps-8 ../models/bunny.stl
==3710704== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3710704== Profiling application: ./mfps-8 ../models/bunny.stl
==3710704== Profiling result:
==3710704== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "TITAN Xp (0)"
    Kernel: mfps(triangle*, unsigned long, char*, unsigned long*, int*)
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      13.21%      13.21%      13.21%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.001538    0.001538    0.001538
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    2.311108    2.311108    2.311108
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    1.426532    1.426532    1.426532
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   22.644316   22.644316   22.644316
          1              gst_transactions_per_request                                 Global Store Transactions Per Request   16.972933   16.972933   16.972933
          1                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                                               Local Load Transactions       87576       87576       87576
          1                  local_store_transactions                                              Local Store Transactions       94681       94681       94681
          1                          gld_transactions                                              Global Load Transactions      355946      355946      355946
          1                          gst_transactions                                             Global Store Transactions       45776       45776       45776
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                                  L2 Read Transactions      316088      316088      316088
          1                     l2_write_transactions                                                 L2 Write Transactions      289066      289066      289066
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex      10.94%      10.94%      10.94%
          1                            local_hit_rate                                                        Local Hit Rate      38.64%      38.64%      38.64%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  261.51MB/s  261.51MB/s  261.51MB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  10.524MB/s  10.524MB/s  10.524MB/s
          1                            gld_throughput                                                Global Load Throughput  812.88MB/s  812.88MB/s  812.88MB/s
          1                            gst_throughput                                               Global Store Throughput  1.3300GB/s  1.3300GB/s  1.3300GB/s
          1                     local_memory_overhead                                                 Local Memory Overhead      49.84%      49.84%      49.84%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      41.24%      41.24%      41.24%
          1                      l2_tex_read_hit_rate                                           L2 Hit Rate (Texture Reads)      84.33%      84.33%      84.33%
          1                     l2_tex_write_hit_rate                                          L2 Hit Rate (Texture Writes)      81.05%      81.05%      81.05%
          1                      tex_cache_throughput                                              Unified Cache Throughput  6.6451GB/s  6.6451GB/s  6.6451GB/s
          1                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  4.5758GB/s  4.5758GB/s  4.5758GB/s
          1                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  4.2607GB/s  4.2607GB/s  4.2607GB/s
          1                        l2_read_throughput                                                 L2 Throughput (Reads)  9.1838GB/s  9.1838GB/s  9.1838GB/s
          1                       l2_write_throughput                                                L2 Throughput (Writes)  8.3986GB/s  8.3986GB/s  8.3986GB/s
          1                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                        System Memory Write Throughput  152.33KB/s  152.33KB/s  152.33KB/s
          1                     local_load_throughput                                          Local Memory Load Throughput  2.5445GB/s  2.5445GB/s  2.5445GB/s
          1                    local_store_throughput                                         Local Memory Store Throughput  2.7509GB/s  2.7509GB/s  2.7509GB/s
