==2933676== NVPROF is profiling process 2933676, command: ./fps ../models/bunny.stl
==2933676== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2933676== Profiling application: ./fps ../models/bunny.stl
==2933676== Profiling result:
==2933676== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"shared_ld_transactions",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"shared_st_transactions",0,0,0,0
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"active_cycles_pm",15056709,15056709,15056709,15056709
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"active_warps_pm",68679814,68679814,68679814,68679814
"TITAN Xp (0)","fps2(char*, unsigned long*)",1,"elapsed_cycles_pm",55915620,55915620,55915620,55915620
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"tex0_cache_sector_queries",904856,904856,904856,904856
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"tex1_cache_sector_queries",909222,909222,909222,909222
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"tex0_cache_sector_misses",909326,909326,909326,909326
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"tex1_cache_sector_misses",904752,904752,904752,904752
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"fb_subp0_read_sectors",5884,5884,5884,5884
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"fb_subp1_read_sectors",5856,5856,5856,5856
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"fb_subp0_write_sectors",53633,53633,53633,53633
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"fb_subp1_write_sectors",53520,53520,53520,53520
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp0_write_sector_misses",53547,53547,53547,53547
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp1_write_sector_misses",53566,53566,53566,53566
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp0_read_sector_misses",5872,5872,5872,5872
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp1_read_sector_misses",5868,5868,5868,5868
"TITAN Xp (0)","fps3(char*, unsigned long*, bool*)",1,"l2_subp0_read_tex_sector_queries",702847,702847,702847,702847
